LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsRetained,DateApproved,Lender,CD
a $5-10 million,"ARCTIC SLOPE NATIVE ASSOCIATION, LTD.",7000 Uula St,BARROW,AK,99723,813920,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,295,4/14/20,"National Cooperative Bank, National Association",AK - 00
a $5-10 million,CRUZ CONSTRUCTION INC,7000 East Palmer Wasilla Hwy,PALMER,AK,99645,238190,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,215,4/15/20,First National Bank Alaska,AK - 00
a $5-10 million,"I. C. E. SERVICES, INC",2606 C Street,ANCHORAGE,AK,99503,722310,Corporation,Unanswered,Unanswered,Unanswered,,367,4/11/20,KeyBank National Association,AK - 00
a $5-10 million,KATMAI HEALTH SERVICES LLC,"11001 O'MALLEY CENTRE DRIVE, SUITE 204",ANCHORAGE,AK,99515,621111,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0,4/29/20,Truist Bank d/b/a Branch Banking & Trust Co,AK - 00
a $5-10 million,MATANUSKA TELEPHONE ASSOCIATION,1740 S. CHUGACH ST,PALMER,AK,99645,517311,Cooperative,Unanswered,Unanswered,Unanswered,,267,6/10/20,CoBank ACB,AK - 00
a $5-10 million,"NANA WORLEY, LLC","3700 Centerpoint Drive, 7th floor",ANCHORAGE,AK,99503,541330,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,231,5/19/20,First National Bank Alaska,AK - 00
a $5-10 million,"NORTHERN ENERGY SERVICES, LLC",6250 South Airpark Place,ANCHORAGE,AK,99502,213112,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,298,4/6/20,Northrim Bank,AK - 00
a $5-10 million,SOUTH PENINSULA HOSPITAL INC,4300 BARTLETT STREET,HOMER,AK,99603,622110,Corporation,Unanswered,Unanswered,Unanswered,,439,4/14/20,First National Bank Alaska,AK - 00
a $5-10 million,"TATITLEK TECHNOLOGIES, INC.",561 E. 36th Avenue,ANCHORAGE,AK,99503,518210,Corporation,Unanswered,Unanswered,Unanswered,,361,4/14/20,KeyBank National Association,AK - 00
a $5-10 million,"TYONEK GLOBAL SERVICES, LLC",1689 C ST,ANCHORAGE,AK,99501,611420,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0,4/30/20,BBVA USA,AK - 00
a $5-10 million,"TYONEK WORLDWIDE SERVICES, INC.",1689 C ST,ANCHORAGE,AK,99501,488190,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,0,4/30/20,BBVA USA,AK - 00
a $5-10 million,"YULISTA TACTICAL, LLC",5015 BUSINESS PARK BLVD Suite 3000,ANCHORAGE,AK,99503,541614,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,220,4/16/20,KeyBank National Association,AK - 00
b $2-5 million,"ADVANCED SUPPLY CHAIN INTERNATIONAL, LLC",2525 GAMBELL ST Ste 405,ANCHORAGE,AK,99503,493190,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,126,4/8/20,Northrim Bank,AK - 00
b $2-5 million,"AHTNA CONSTRUCTION &AMP; PRIMARY PRODUCTS COMPANY, LLC",110 W 38th Ave Ste 100,ANCHORAGE,AK,99503,237310,,Unanswered,Unanswered,Unanswered,,135,5/3/20,"Bank of America, National Association",AK - 00
b $2-5 million,AHTNA ENVIRONMENTAL INC,110 W 38th Ave Ste 200B,ANCHORAGE,AK,99503,562910,Corporation,Unanswered,Unanswered,Unanswered,,180,4/29/20,"Bank of America, National Association",AK - 00
b $2-5 million,AHTNA PROFESSIONAL SERVICES INC,110 W 38th Ave Ste 200F,ANCHORAGE,AK,99503,541513,Corporation,Unanswered,Unanswered,Unanswered,,216,4/27/20,"Bank of America, National Association",AK - 00
b $2-5 million,AHTNA SUPPORT AND TRAINING SERVICES LLC,110 W 38th Ave Ste 100,ANCHORAGE,AK,99503,541690,,Unanswered,Unanswered,Unanswered,,484,5/3/20,"Bank of America, National Association",AK - 00
b $2-5 million,"ALASKA CENTRAL EXPRESS, INC.",5901 Lockheed Avenue,ANCHORAGE,AK,99502,481112,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,158,4/4/20,Northrim Bank,AK - 00
b $2-5 million,ALASKA DIRECTIONAL LLC,200 EAST COMMERCIAL DRIVE,PALMER,AK,99645,237110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,5/3/20,"Wells Fargo Bank, National Association",AK - 00
b $2-5 million,"ALASKA HEART INSTITUTE, LLC",3841 Piper Street Suite T-100,ANCHORAGE,AK,99508,621111,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,240,4/8/20,Northrim Bank,AK - 00
b $2-5 million,"ALASKA SALES AND SERVICE, INC.",1300 East 5th Avenue,ANCHORAGE,AK,99501,441110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,141,4/6/20,Northrim Bank,AK - 00
b $2-5 million,ALASKA VILLAGE ELECTRIC,4831 EAGLE STREET,ANCHORAGE,AK,99503,221122,Corporation,Unanswered,Unanswered,Unanswered,,0,5/6/20,"Wells Fargo Bank, National Association",AK - 00
b $2-5 million,ALCAN ELEC. & ENGINEERING INC.,6670 Arctic Spur Rd.,ANCHORAGE,AK,99518,238210,Subchapter S Corporation,Unanswered,Female Owned,Unanswered,,92,4/4/20,Northrim Bank,AK - 00
b $2-5 million,"ALLEN MARINE TOURS, INC.",1512 Sawmill Creek Rd,SITKA,AK,99835,561520,Corporation,American Indian or Alaska Native,Male Owned,Unanswered,,170,4/4/20,Northrim Bank,AK - 00
b $2-5 million,ALYESKA RESORT OPERATIONS LIMITED PARTNERSHIP,1000 Arlberg Ave,GIRDWOOD,AK,99587,721110,Partnership,Unanswered,Unanswered,Unanswered,,393,4/13/20,BMO Harris Bank National Association,AK - 00
b $2-5 million,"ANCHORAGE COMMUNITY MENTAL HEALTH SERVICES, INC.",4020 FOLKER STREET,ANCHORAGE,AK,99508,621498,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,168,4/9/20,First National Bank Alaska,AK - 00
b $2-5 million,ANCHORAGE FRACTURE & ORTHOPEDIC CLINIC,3831 Piper Street Suite 220,ANCHORAGE,AK,99508,621111,Corporation,Unanswered,Unanswered,Unanswered,,117,4/13/20,First National Bank Alaska,AK - 00
b $2-5 million,ANCHORAGE NEIGHBORHOOD HEALTH CENTER INC,4951 BUSINESS PARK BLVD,ANCHORAGE,AK,99503,621111,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,,5/3/20,"Wells Fargo Bank, National Association",AK - 00
b $2-5 million,"BEACON OCCUPATIONAL HEALTH AND SAFETY SERVICES, INC.",800 Cordova Street,ANCHORAGE,AK,99501,621111,Corporation,White,Female Owned,Non-Veteran,,230,4/13/20,KeyBank National Association,AK - 00
b $2-5 million,"BERING AIR, INC.",PO Box 1650,NOME,AK,99762,481211,Subchapter S Corporation,White,Female Owned,Non-Veteran,,184,4/13/20,KeyBank National Association,AK - 00
b $2-5 million,"BERING SEA ENVIRONMENTAL, LLC",3601 C st Ste 1000-31,ANCHORAGE,AK,99503,541330,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,159,4/5/20,Northrim Bank,AK - 00
b $2-5 million,CENTRAL COUNCIL TLINGIT & HAIDA INDIAN TRIBES OF ALASKA,9097 Glacier Hwy,JUNEAU,AK,99801,813410,Professional Association,Unanswered,Unanswered,Unanswered,,318,4/27/20,Northrim Bank,AK - 00
b $2-5 million,"CENTRAL ENVIRONMENTAL, INC.",311 N Sitka Street,ANCHORAGE,AK,99501,562910,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,122,4/14/20,First National Bank Alaska,AK - 00
b $2-5 million,"COLVILLE, INC.",4300 B Street,ANCHORAGE,AK,99503,454319,Corporation,White,Male Owned,Non-Veteran,,213,4/4/20,Northrim Bank,AK - 00
b $2-5 million,"COPPER RIVER SEAFOODS, INC.",1118 5TH AVE,ANCHORAGE,AK,99501,311710,Corporation,Unanswered,Male Owned,Veteran,,303,4/11/20,East West Bank,AK - 00
b $2-5 million,DAVIS CONSTRUCTORS & ENGINEERS,13701 Vern Drive,ANCHORAGE,AK,99516,236210,Sole Proprietorship,Unanswered,Male Owned,Unanswered,,78,4/12/20,KeyBank National Association,AK - 00
b $2-5 million,"DENALI FOODS, INC.",3301 Denali St,ANCHORAGE,AK,99503,722511,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,451,4/11/20,KeyBank National Association,AK - 00
b $2-5 million,ENGINEERED SOLUTIONS GROUP,"3305 Arctic Boulevard, Suite 201",ANCHORAGE,AK,99503,541330,Subchapter S Corporation,White,Female Owned,Non-Veteran,,158,4/10/20,Northrim Bank,AK - 00
b $2-5 million,"FAIRWEATHER, LLC",301 Calista Court,ANCHORAGE,AK,99518,541618,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,140,4/8/20,First National Bank Alaska,AK - 00
b $2-5 million,"FAMILY CENTERED SERVICES OF ALASKA, INC.",1825 Marika Rd.,FAIRBANKS,AK,99709,621420,Non-Profit Organization,Unanswered,Male Owned,Unanswered,Y,145,4/3/20,Northrim Bank,AK - 00
b $2-5 million,"FULLFORD ELECTRIC, INC.",303 E VAN HORN RD,FAIRBANKS,AK,99701,238210,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,,82,4/4/20,Northrim Bank,AK - 00
b $2-5 million,"GEONORTH, LLC.",561 E. 36th Ave.,ANCHORAGE,AK,99503,541511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,188,4/13/20,KeyBank National Association,AK - 00
b $2-5 million,"GRANT AVIATION, INC.",6402 Kulis Dr,ANCHORAGE,AK,99502,481111,Corporation,Unanswered,Unanswered,Unanswered,,189,4/6/20,Northrim Bank,AK - 00
b $2-5 million,"GREAT NORTHWEST, INC.",2975 Van Horn Road,FAIRBANKS,AK,99709,237310,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,59,4/11/20,KeyBank National Association,AK - 00
b $2-5 million,HOMER ELECTRIC ASSOCIATION INC,3977 LAKE STREET,HOMER,AK,99603,221122,Corporation,Unanswered,Unanswered,Unanswered,,145,4/28/20,First National Bank Alaska,AK - 00
b $2-5 million,ILISAGVIK COLLEGE,100 Stevenson St,BARROW,AK,99723,611310,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,207,4/8/20,Northrim Bank,AK - 00
b $2-5 million,"JL PROPERTIES, INC",813 D Street Ste 20,ANCHORAGE,AK,99520,531110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,149,4/8/20,First National Bank Alaska,AK - 00
b $2-5 million,"KATMAI SUPPORT SERVICES, LLC","11001 OMalley Centre Drive , Suite 204",ANCHORAGE,AK,99515,561210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,255,4/14/20,Truist Bank d/b/a Branch Banking & Trust Co,AK - 00
b $2-5 million,"KAWERAK, INC.",PO Box 948,NOME,AK,99762,624110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,215,4/13/20,KeyBank National Association,AK - 00
b $2-5 million,KETCHIKAN INDIAN COMMUNITY,Ketchikan Indian Community,KETCHIKAN,AK,99901,621910,Corporation,Unanswered,Male Owned,Unanswered,,165,4/27/20,KeyBank National Association,AK - 00
b $2-5 million,LIFEMED ALASKA LLC,3838 W 50TH AVE,ANCHORAGE,AK,99502,561320,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,5/3/20,"Wells Fargo Bank, National Association",AK - 00
b $2-5 million,"MRD, INC.",800 NORTHERN LIGHTS BLVD,ANCHORAGE,AK,99503,722514,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,500,4/7/20,Northrim Bank,AK - 00
b $2-5 million,"NEESER CONSTRUCTION, INC.",2501 BLUEBERRY ROAD,ANCHORAGE,AK,99503,237990,Corporation,Unanswered,Unanswered,Unanswered,,74,4/13/20,First National Bank Alaska,AK - 00
b $2-5 million,NEW HORIZONS TELECOM INC.,901 Cope Industrial Way,PALMER,AK,99645,237130,Corporation,Unanswered,Unanswered,Unanswered,,64,4/10/20,KeyBank National Association,AK - 00
b $2-5 million,"ORTHOALASKA, LLC",3801 Lake Otis Parkway,ANCHORAGE,AK,99508,621111,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,240,4/4/20,Northrim Bank,AK - 00
b $2-5 million,"PDC, INC",1028 AURORA DR.,FAIRBANKS,AK,99709,541330,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,97,4/6/20,Mt. McKinley Bank,AK - 00
b $2-5 million,PND ENGINEERS INC,1506 W 36th Ave,ANCHORAGE,AK,99503,541330,Corporation,Unanswered,Unanswered,Unanswered,,112,4/5/20,Northrim Bank,AK - 00
